sentence,topic_predicted,label
Using animals in sport demeans humans. ,GMO's,neutral
Welfare based on conditions is not appropriate or fair.,subsidizing women-owned businesses,neutral
Future conflict can be prevented through South Ossetian independence.,vegetarianism,neutral
It may be necessary to limit trial by jury in cases where it is impossible to recruit an impartial jury.,regulating social media,neutral
Drone strikes cause a significant amount of localized trauma.,arming police officers,neutral
Access to contraception results are unproven.,government-funded health education,neutral
Multiculturalism promotes healthier new generations,legalizing marijuana,neutral
Out of town retail developments are bad for the environment,a minimum wage,neutral
Gains may be reversed; events can?? be foreseen,parental controls,neutral
Showing one's Christian faith is important to the religion and should be approved,a referendum,neutral
This slippery slope heads towards forcing all countires to lower the voting age to sixteen.,compulsory national service,neutral
This begins a slippery slope that can have global implications,creating a European Union,neutral
"This type of music is degrading to everyone, not just women.",harm reduction,neutral
UN reform is almost impossible to be agreed on.,building hydroelectric dams,neutral
The state should not be in the business of promoting religion not should pledges of allegiance include religious dogma. ,it not being a real holiday,neutral
"If abortions were legalized, more people would engage in irresponsible sexual behavior.",the measure,neutral
It would be highly impractical to ban this music glorifying violence.,wind power,neutral
UK will be disentangled,a fiat currency,neutral
The Right To Express Ones Self,a one-state solution to,neutral
Objectifying animals enables people to absolve themselves from their moral treatment.,polygamy because it would upset the,neutral
International Terrorist Networks can be destroyed by having Drone Strikes in the United States. ,teaching our children about religions in,neutral
drones are able to be more focused limiting collateral damage,making obesity a criminal offence,neutral
Will police body cameras teach police anything.,a referendum on the EU,neutral
"If I choose to go somewhere, I should be allowed to smoke there.",war,neutral
Possessing nuclear weapons will be counter to the peaceful interests of states,US involvement in the war,neutral
More gun control leads to fewer suicides.,body cameras to monitor police activity,neutral
Social media creates a positive atmosphere in the classroom.,cannabis legalization,neutral
The ban will give powers to police to crack down on the murky underworld of forced marriages,using oil as a source of,neutral
Games have no influence on players,antibiotic resistance,neutral
Translating academic work is not neccessary for countries in the West.,reducing the negative impact the environment,neutral
The feminist movement should not allow women to sell themselves,using nuclear power,neutral
Advertising should not be allowed to seduce vulnerable children who do not understand what they want.,ID cards,neutral
Internment without holding a trial encourages hostility in return.  ,a nuclear-armed Iran,neutral
Proliferation of nuclear weapons increases the chances of nuclear accidents,tuition fees,neutral
People who are destitute are more likely to turn to crime in order to satisfy basic living necessities. ,criminalising radicalisation,neutral
The government shouldn't pay for everyone's health care.,military spending,neutral
Leaving would take back power to control the economy,legalization,neutral
"Catalans desire self determination, it is clear.",schools having their own policies on,neutral
Artists deserve to profit from their work and copyright provides just recompense,banning them,neutral
"RE helps to challenge misconceptions, prejudice and ignorance which can divide society.",a wealth tax,neutral
Implementing a free labour market will enable effective management of migration.,museums being open to the public,neutral
Unlike warfare cyber-attacks don?? kill so they don?? need to be restricted in the same way,gun control,neutral
"Schools should educate about healthy choices, not make them on the students??behalf.",a digital detox,neutral
"People should pay for their own health care, not have it given to them by the government. ",having a national identity card,neutral
Governments are actively involved in helping to stifle hate speech by imposing penalties.,computerized climate models,neutral
The ban is necessary to confront the growing problem of obesity in NYC.,bringing refugees to America,neutral
NATO expansion was essential for international stability ,free speech,neutral
Deadly force  is justifiable for domestic violence.,a vegan diet,neutral
"If the courts did not handle the issues, then the mob would",democracy in these states,neutral
The Palestinian refugee crisis was created and is perpetuated by the Arab states and the Palestinians themselves,teams striving for the playoffs,neutral
A graduation tax would mean scrapping tuition fees and students do not need to pay anything up front.,abstinence,neutral
African heads of state  must be honest to the people about their health condition.,free speech,neutral
1 child policy can infringe on women's rights.,drone strikes,neutral
free labour markets are good for migration,a tax on sugar,neutral
Security is better shared,"rich countries providing aid, in",neutral
The states should hold back on imposing bans.,Google censoring content in China,neutral
A smoker should be allowed to smoke in any place that they have a choice to go to.,NATO enlargement,neutral
Sanctuary Cities hinder cooperation between local and federal government,a Muslim ban,neutral
Our society needs independent children and a mobile phone is a great way to teach independence.,making obesity a criminal offence,neutral
free press is a vital building block for democratic society,same sex marriage,neutral
Voting at a lower age would increase participation,a ban,neutral
Students learn better from books than from screens.,playoffs,neutral
Social problems can be solved without resorting to physical punishments.,e-auction,neutral
The US Security Counsel neds to expand,same-sex marriage,neutral
Vaccines can save children's lives.,temporary employment for youth,neutral
"Multiculturalism means that everyone is the same, and then nobody is happy. ",a flat tax,neutral
Homework allows parents to be involved with their child's learning,creating differential pricing for different types,neutral
It is right to treated women differently than men in some cases. ,generic drugs,neutral
Important public programs can be funded with the incremental taxes collected from legal marijuana sales.,a fat tax,neutral
Some people will be distressed by the removal of their loved-ones??organs,unhealthy eating,neutral
Social media facilitates quick and easy contact during times of crisis.,government limiting free speech,neutral
"Socialism died out, making way for Capitalism.",the Israeli Apartheid state,neutral
Allegations of misconduct has darkened the reports of success by the UN.,teaching kids how to use social,neutral
"Even taking into account how distracting mobile phones can be, every child should have access to a phone.",anarchy,neutral
It?? in the interests of employers,a gold standard,neutral
Keeping funds from government has negative consequences for spending,a Palestinian state,neutral
Regressive and biased is how the Monarchy system is.,regulating it,neutral
American interests are counted by Guantanamo Bay's lack of transparency.,social media bullying,neutral
A special EU wide tax on meat consumption would reduce the threat to the planet,it,neutral
Wiretapping can actually threaten the success of intelligence services in preventing crime and helping to prove criminals guilty.,arranged marriages,neutral
The decision to smoke is a human right.,progressive taxation,neutral
It would increase tax fraud,censorship,neutral
The ECJ has often been  seen to over -step the legitimate boundaries of ,a UN body,neutral
Governments have a moral duty to protect its citizens from harmful sites.,individual rights over collective self-,neutral
Broadband access should be accessible by all people in this age of technological advances.,women being able to choose to,neutral
"Because tablets are easy to use, students find them fun.",atheism,neutral
Sex markets are bad for society.,a cap on the number of,neutral
Reparations can repair colonial scars.,mandatory teaching of evolutionary theory in,neutral
The most logical solution to this issue would be a graduated response.,capitalism,neutral
social media help people find friends,gun control,neutral
Work puts limits on the formal education received by a child performer.,medical care,neutral
Forced evictions are political land grabbing. ,climate change,neutral
"According to economist, the gold standard is best left in the past.",disarmament,neutral
Dictatorships have a flexibility in economic policy that breeds growth,a strong leader to fight corruption,neutral
"Universal free education may be a great idea in practice, but it is not feasible for the government to handle the expenses.",a takeover,neutral
Shakespeare is overrated.,a national health insurance system,neutral
Free speech is bad for national security.,child performers receiving special care and,neutral
Other nations are obliged to help. ,government regulating industry,neutral
Having the FTAA would have a negative impact on the environment,the plan,neutral
Using the internet and their freedom Holocaust deniers legitimize their organization and message in the eyes of consumers.,marriage,neutral
Filtering hate speech will keep it out of the mainstream and out of our lives.,a Palestinian state,neutral
Terrorists are created by drone strikes.,a government regulation that requires all,neutral
Fair use isn't failsafe and can be used in direct contention against the original intent of the law.,assigning homework,neutral
Cooperation will not occur between the ISP and this policy.,abolishing the national team,neutral
The military needs to intervene in most of the crisis around the world.,providing more funding for student loans,neutral
"Because the United States is a very wealthy country, it should provide health care for all its citizens. ",mandatory school uniforms,neutral
Homework ensures that students practise what they are taught at school,arming police,neutral
State resources could be better used in areas other than supporting free university education,homeschooling,neutral
There are no protections in place to stop fake documents and identity thieves.,the US having nuclear weapons,neutral
"Access to legal, professionally-performed abortions reduces maternal injury and death caused by unsafe, illegal abortions. ",having security cameras in public places,neutral
unemployed people older than 25 will suffer,free speech,neutral
The case for economic expansion is not sound,a creator,neutral
"Economic stability and growth is assisted by a strong, economically viable transport network.",euthanasia,neutral
It teaches social responsibility,laissez faire capitalism,neutral
Social stability through the use of dictatorships.,regulation,neutral
A long ruling and ruthless dictator was toppled.,a social media free school,neutral
Socialism was a twentieth century ideology which ran its course and ran out of steam when it became clear that Capitalism worked better,white privilege,neutral
A diet devoid of meat lowers the risk of heart disease.,a minimum wage,neutral
A ban would cease Holocaust deniers from taking part in real world actions.,hydroelectric dams,neutral
Private accounts would allow benefits to be inherited. ,people being able to choose their,neutral
Integration will fix the problem of borders,integration,neutral
Drone Strikes Make the United States Safer by Destroying Terrorist Networks Internationally.,strikes in order to make a,neutral
Countries in the West have no responsibility to translate their academic work.,gay marriage,neutral
Presents a bold new path,democracy,neutral
Internment without trial spits in the face of our democratic values. ,online anonymity,neutral
Drone strikes abroad ensures the safety of foreign countries.,foreign mercenaries being used in internal,neutral
The country is growing but minimum wage has not grown with it. ,a tax on sugar,neutral
International development is a more effective method of preventing failed states.,religious tolerance,neutral
There is no legal or moral reason for an employer to know private medical information of their employees,blocking extremist websites,neutral
"Legalizing gay marriage advances the ""homosexual agenda"" and unfairly paints opponents as bigots. ",net neutrality,neutral
Changing the wealth around to help income disparity ,passive smoking,neutral
Overcrowded prisons are creating poor environments for prisoners.,a blanket ban on all firearms,neutral
A right to health care could stop medical bankruptcies. ,gun control,neutral
Even though hosting the olympics is very expensive it is worth the effort.,corporations having no human rights,neutral
PR increases political engagement which benefits society.,American bilingualism,neutral
NATO expansion has always been necessary for international stability. ,vaccination,neutral
Raising the minimum wage would increase housing costs. ,lowering the corporate income tax rate,neutral
Monarchy is an infantile idea.,going vegetarian,neutral
It is not professional at all,awarding POW status to terrorists,neutral
Radicalisation cannot be stopped by criminalisation,freedom of speech,neutral
Working as a performer can make a child vulnerable.,a dictator,neutral
Getting rid of dictators is a top interest for democracies.,government censorship,neutral
raising minimum wage raises everyone's pay,a missile defense shield,neutral
The American Jobs Act is Not Deficit Neutral,the university being self-sufficient,neutral
The Identity and History of the United States are intrinsically linked to the English Language,jurors being anonymous,neutral
Use reverse psychology on kids to remove the appeal of drinking. ,heavy social media use in schools,neutral
Wiretapping makes it easier to stop crimes and catch the bad guys.,vegetarianism,neutral
The United States should not have different trading and travel policies for Cuba than for other countries with governments or policies it opposes. ,a ban,neutral
Media coverage should focus on men's sports because they are more popular than women's.,the Syrian National Council as the,neutral
There is nothing inherently cruel about raising animals for food,smoking in public places,neutral
Denying healthcare to smokers is impractical,exploiting natural resources,neutral
It is not necessary to become vegetarian to lower our environmental footprint. ,reproductive choice,neutral
"In order to provide care for employees, they must disclose their criminal history.",creating a 'single culture',neutral
Invoking public reaction can damage the lives of those concerned in the court case.,legalizing drugs,neutral
The EU shares the same values as Norway and Switzerland,regulating the internet,neutral
16 year olds are mature enough to vote,blocking social media during emergencies,neutral
children at 16 have no sense of decesion making,user privacy,neutral
Reducing the wealth gap is practical and efficient.,parental voting,neutral
The death penalty is not justice.,teaching critical thinking and analytical skills,neutral
Vaccines protect future generations.,child performers having a limited formal,neutral
Factionalism is too strong,Qatar hosting the World Cup,neutral
"Businesses will be forced to lay of employees, if minimum wage is raised.",assisted suicide,neutral
Land titles are not affordable to poor women,using circumstantial evidence to,neutral
Children of housewives spend more time with a loving parent and benefit from that attention.,sacrificing one's own economic interests,neutral
Tablets are unnecessary because print textbooks that are not brand new still convey relevant information to K-12 students.,mandatory regulation of sexist advertising,neutral
It is a workplace rule that has already been enforced and should have been expected,providing free education,neutral
PMCs have historically helped with resolving conflicts and aiding countries in winning conflicts.,sound science,neutral
Collective Bargaining is Especially Necessary in the Case of Natural Monopolies,using personal information to market products,neutral
Prohibiting suicide sends the message that it is not an acceptable behaviour ,whistleblower protection laws,neutral
Newspapers are more credible than independent blogger reports.,reading digital text,neutral
Allowing women asylum will damage feminist movements ,recognising sex work as a,neutral
This limits safe access of transportation for young people.,progressive taxation,neutral
Russians need strong leadership.,',neutral
"Working from home is more comfortable for many employees, meaning they are more motivated to go to work and more productive while working, which is much better for companies. ",a smoking ban,neutral
Having an African voice would make sure that their priorities are in order,a reduction in the corporate tax,neutral
CAP protects the quality of the food in EU,multiculturalism,neutral
Only in Top Class football - make a monitor available to the match officials for replay of 'ball over the goal line' incidents only.,free university education,neutral
Hacks as artistic expression.,a pay-to-play,neutral
Written works should be subject to the same types of ratings systems as other entertainment media,identity cards,neutral
Free trade is good for development and growth. ,Facebook being used as a tool,neutral
Suicide is a waste of life,economic sanctions against Cuba,neutral
The legitimacy of the legal proceedings is compromised and becomes just entertainment.,social media,neutral
"DNA testing isn't 100% accurate, so it shouldn't be used to convict people.",allowing women in combat,neutral
Parents can monitor whether children are use time online effectively.,a global academy,neutral
"Wikileaks is so common and any facts can be either fact checked to be proven true or false, using it to blackmail someone would put the criminal at risk.",a right to health care,neutral
Withholding funds will cause Palestine to rely on anti-Israeli regimes. ,mandatory school uniforms,neutral
Oceanic acidity is increasing too much to be natural.,a 1 child policy,neutral
"Newspapers wont die, they??l adapt",an inquiry,neutral
"If mayors are elected, then the best candidates will run for office.",Net Neutrality,neutral
to avoid a double dip recession do not let tax cuts expire,hosting the Olympics,neutral
Smoking and drinking in films has not been proven as a direct influence of the viewers.,funding PBS,neutral
A referendum couldn't produce the nuanced policy that the UK needed. ,banning them,neutral
University education is an investment.,censorship,neutral
It is deplorable and unconscionable to take the life of an animal for food when one has a choice to eat vegetarian meals,more education,neutral
Somalian terrorists need to be stopped.,democracy,neutral
Military action is only legal with UN Security Council approval,bullfighting,neutral
The economy could not rely on the aid of the Federal Reserve under the gold standard.,arming the police,neutral
Witnesses and jurors could easily become involved in the media coverage of the case and place the trial at jeopardy.,school uniforms,neutral
Other countries have had second referendums ,euthanasia,neutral
"Strict gun control laws do not work in Mexico, and will not work in the United States.",children having facebook accounts,neutral
"Though mobile phones can be distracting, giving every child a mobile phone would benefit society.",animal deaths in vegetarian diets,neutral
The Gulf States would make a great palce for refugees to restablish themselves.,using violence in order to police,neutral
Spending on youth is best for the economy,cultural assimilation,neutral
Possibility of being drawn into a long drawn out conflict,banning junk food in schools,neutral
Danger of censorship.,harm reduction,neutral
There are still preventable diseases spreading so kids should get vaccinated.,redistributing wealth,neutral
Government spending is the only way to increase much needed consumption,a national primary,neutral
Malevolent gossip can have a devastating impact on the person involved,the Olympics,neutral
Justice is needed to help end denialism.,the EU,neutral
Better nutrition leads to more productive students.,teaching scientific theories in science classes,neutral
War criminals need to be prosecuted in order to provide justice.,reform,neutral
working too long is a waste ,criminalising it,neutral
There would be no more border issues if there was integration,a strong central government,neutral
Needle exchanges can help social services to locate addicts who are in need of treatment,using violence to stop terrorism,neutral
The fastest route over one short distance ,affirmative action in sport,neutral
fewer troops are exposed to dangers when drones are employed,collective bargaining,neutral
The EU needs a dedicated defence force,lifting the embargo,neutral
House printers are destroying developing economies in the short term.,a right to reply,neutral
The economy needs educated people in order to do well in the future.,a court case,neutral
Its harmful to the environment,parents choosing to homeschool their,neutral
The economy could benefit from the imposition of mining taxes.,a borderless EU,neutral
net neutrality can create burdens ,Meatism,neutral
Referendums are very artificial. ,tuition fees,neutral
There is no respect among the population for ASBOS,a vegetarian diet,neutral
The economic resources are shown to be drained by smokers.,free education,neutral
The Falkland Islanders do not speak Spanish and WANT to be part of the UK,economic liberalization,neutral
The government should stay out of personal decisions.,a Universal Basic Income,neutral
Making bullying a legal issues does not incentivise robust enforcement of anti bullying rules by schools,democracy,neutral
Net neutrality maintains a free market and even playing field,a national healthcare system,neutral
There is no down side to a strong policy on women's rights being adopted by the EU.,positive discrimination,neutral
There is no one to enforce the new tv rules,continuing aid,neutral
This is Tyrrany of the majority,reducing the number of threats,neutral
Interfering with a species for cosmetic reasons is poor practice,'might makes right',neutral
Forced evictions are a common path used towards forming Eco-Cities.,isolationism,neutral
Moral and legal pluralism in relation to same-sex marriage is acceptable,alleviating poverty,neutral
Profiling is simply institutionalizing racism an reduces minorities to the status of second class citizens ,criminalizing prostitution,neutral
The minimum wage is little more than a political tool that ultimately harms the overall economy by raising the unemployment rate and driving businesses elsewhere,social media in schools,neutral
There is no reason to change the way the internet works.,a dictatorship,neutral
"Every country, including the United States, has a sovereign right to defend itself with every available means necessary",animals being objectified,neutral
Politically correct societies remain so until someone decides that homogeneity is not a good thing and then trouble begins.,a universal basic income,neutral
Our country holds considers this very important.,a theocracy,neutral
the dam could harm the area around it.,social media,neutral
Freedom of speech,privatization,neutral
People from many professions encourage the return of the gold standard.,delaying or skipping vaccines,neutral
Identity cards are inconvenient and people won't like them.,gay marriage,neutral
The use of Drones to combat enemy actions and terrorism will be an effective method to face enemies and stop terrorism .,forced evictions,neutral
"Small countries would no longer need the protection of larger ones, so could become more politically independent.",adding protections,neutral
An armed police force will deter criminal behaviour,affirmative action,neutral
A ban would help prevent deniers from spreading their views,deporting illegal aliens,neutral
Good food helps create better students,extending the voting age to 18,neutral
The impact of having high mining taxes will be bad on a domestic and a global scale.,child death,neutral
The right to internet access fills a gap in traditional human rights.,using Wikileaks for blackmail,neutral
PTSD is much less prevalent amonst drone pilots than those who participate in traditional warfare.,banning high-capacity magazines,neutral
A majority of Americans support legalizing marijuana.,dictatorships,neutral
Vaccines protect the children of tomorrow.,making violent video games illegal,neutral
The European Union is too centralised,legalising prostitution,neutral
Such reparations would do little to actually improve the developing countries.,gay marriage,neutral
"The higher the taxes, the more often people will strive to dodge them. ",gun rights,neutral
State registrars conducting marriage ceremonies could not discriminate between homosexual and heterosexual couples,democracy,neutral
Gauntanamo Bay is detrimental to foreign relations for United States.,an independent trust fund,neutral
People do not have to stop eating meat to improve environmental conditions.,blind justice,neutral
Video replays would take away from the entertainment,capital punishment,neutral
Police body cameras are a good tool for learning and have strong support from members of the public.,same-sex marriage,neutral
Denying access to healthcare for smokers will lead to thousands of people being turned away and potentially dying from preventable illnesses,Kosovo seceding from Serbia,neutral
An increase in minimum wage would result in a decrease of households living in poverty.,prisons,neutral
The freedom of speech can be curtailed when it represents a serious threat to society,intervening,neutral
Some skills are better learned outside the classroom.,GM crops,neutral
The British state and the Church of England should be separate.,the policy,neutral
Drone Strikes Are Carried Out with the support of Local Governments and Make Those Countries Safer.,multiculturalism,neutral
Legalizing marijuana would create costs for both society and taxpayers that would offset the tax revenues that are generated.,a government body regulating and cens,neutral
A ban would stop Holocaust deniers from engaging in effective real world actions,legalizing it,neutral
His removal provides stability and security not only for Iraq but for the Middle East as a region ,no longer using fossil fuels,neutral
"Without aid, Palestine will be forced to rely on anti-Israeli regimes. ",a universal basic income,neutral
Cuban citizens are paying the price for their government's actions.,advertising unhealthy lifestyles to children,neutral
The Conflict is an internal inter-tribal conflict ??arming the Darfur tribes would be better,illegal actions in order to achieve,neutral
Newspapers have a reputation to uphold.,the UN,neutral
Giving everyone access to health care can lower costs by eliminating the reason for those high costs.,trade barriers,neutral
Students stand against school uniforms.,cutting taxes to stimulate the economy,neutral
Other religions would feel more included if the Church of England  and the British state were separate.,US drone strikes,neutral
Beneficial for the player ,public social security,neutral
Free speech is a right that should be allowed online.,a government-run healthcare system,neutral
Males still dominate the top positions,providing more opportunities for women,neutral
Water must be stored in containers for emergencies and bottled water is the ideal solution.,needle exchanges,neutral
Collective bargaining counters the power of natural monopolies,a mutually beneficial relationship,neutral
"Entirely natural theories can adequately explain the existence and development of the Universe and all it contains, making God irrelevant to the discussion of reality:",returning to a gold standard,neutral
A strong leader has more benefits than harms,it,neutral
Hacks always negatively affect someone.,'degrowth',neutral
People will use alternatives to driving.,abortion being legalized,neutral
Illegal downloading should be regulated by the state.,war,neutral
"An independent Tibet would separate the borders of China and India, reducing potential conflicts between the two.",the article,neutral
Athletes are vulnerable to their coaches,sanctuary cities,neutral
The high speed rail system is one that does not confer economical benefits.,progressive taxation,neutral
Artefacts should be repatriated....including the people which were stolen and scattered world wide!,making bullying a legal issue,neutral
"Deregulation Fuels Corporations to Behave Unethically, Devastating Human Rights and the Environment",a dictatorship,neutral
Denying healthcare to smokers alone is victimization,teaching creationism in a compulsory,neutral
One of the main features of Facebook is to talk to each other.,drone strikes,neutral
It would lessen the amount of accidental deaths from gun accidents if enacting some mandatory safety features.,vaccinating children,neutral
Wind energy provides a sustainable alternative to our other more limited resources.,regulation or censorship,neutral
Political stunt trails can be avoided with this.,Catalonian independence,neutral
Homework is good for learning,an EU army,neutral
Textbooks alone can't keep up with modern technology.,needle exchanges,neutral
Personal responsibility would improve in general ,giving pregnant women other options to,neutral
Athletes should be able to make their own decisions.,EU elections,neutral
Those who are observant religiously think that marriage is important.,legalization,neutral
"In order to protect families, human cloning should be banned.",self-reliance,neutral
"It is difficult to make a direct, legally sound link between a bully's behaviour and a victim's suicide",free speech,neutral
Young people want to have kids,wiretapping,neutral
Having bad results impacts a person's health.,working in an office,neutral
"As an extensive form of media, the Internet should be subject to regulation just as other forms of media are.",electing a mayor,neutral
Promoting religious freedom exacerbates conflict,medical trials,neutral
Social media helps empower business women.,braille being an official language,neutral
child performers are good for movies and shows,national service because it implies that,neutral
real life violent behaviors may be stimulated by video games,a secular state,neutral
Reparations  focus on the nations of previous frontier powers who had nothing to do with the deeds submitted under colonization.,the developing world,neutral
It is not good to rely on NGO's for aid,a Strong Internet Enforcement Agency,neutral
The FTAA would be bad for the environment ,releasing conviction records,neutral
a state in financial trouble can not provide proper security,museums,neutral
Bottled water is a practical emergency water supply. ,wind power,neutral
Dictatorship outperforms democracy in growth and economic develpment,a republic,neutral
School uniforms may delay the transition into adulthood.,further EU unification,neutral
Artifacts are best viewed where they came from.,a just legal system,neutral
The Rebate makes membership acceptable to the British people,rehabilitation,neutral
Social media lacks privacy and exposes users to government and corporate intrusions.,vegetarianism,neutral
Free university provides equal opportunities to all which is a right of individuals.,giving everyone a universal identity card,neutral
"The currenit minimum wage is so low, you won't be able to afford everyday needs with it.",vaccinations,neutral
Foetal rights threaten a woman's right to choose what is best for her own body.,not hosting the olympics,neutral
Homework is crucial to a well rounded education as it is the means by which students are encouraged to learn beyond the school curriculum.,a mining tax,neutral
Removing welfare system would encourage productivity.,children having facebook accounts,neutral
It Forces Illegal Immigrants Underground,sanctions against Cuba,neutral
The Responsibility Lies With Parents,'negative action',neutral
A dam could make the Congo more usable,waiting until a person is older,neutral
Viewing women as sex objects in advertising harms the status of women in society.,identity cards,neutral
The UN has done a great job with preventing wars ,an income tax,neutral
A vegetarian diet reduces overuse of antibiotics. ,needle exchanges,neutral
Islamophobic panic and excessive security would be sanctioned by this action.,allowing abortion in cases where the,neutral
Dictator?? decisions undermines the people and are unaccountable,limiting the number of cases that,neutral
"Yes, it should.",a binding treaty,neutral
"If education is free, students may put in less effort and get less out of it",gun control,neutral
There is psychological affects to having an abortion.,a land auction,neutral
National opinion towards immigrants and non-Christians would be harmed by Seperation.,human rights,neutral
"Holocaust denial sites are an attack against those Jews, gypsies, priests and Nazi resistors.",a national border,neutral
One form of animal torture is bullfighting,using other methods to get the,neutral
Positive discrimination towards women should not be allowed,the ICC,neutral
It is their culture and religion!,rehabilitation instead,neutral
"As an ideal it depends on all being equally well informed, thoughtful and rational. Unattainable.",separation,neutral
Blasphemy causes offence to groups and individuals,hate speech laws,neutral
Corporal punishment creates an unsafe and violent school environment.,medical science,neutral
Citizens loose privacy with the graduate response policy.,free education,neutral
Gender equality is based on fundamental human rights endorsed by the EU which needs to be addressed,transferring more power to Brussels,neutral
Security changes to arise when UK leaves EU.,human trafficking,neutral
Newspapers use valuable resources in production whereby the internet does not.,bottled water,neutral
"Due to the Universal Right to Free Expression, the government has no right to interfere with the depiction of smoking in movies.",reasonable commitment,neutral
Guantanamo Bay Violates Fundamental Human Rights.,censorship,neutral
Leaving may increase British unemployment,corporate ownership,neutral
Pharmaceutical industries make huge profits,democracy,neutral
students should learn different ideas from religion,smoking,neutral
Dictators have incentives to promote development and diminish social differences,right to work legislation,neutral
Uniforms make it easier for parents to afford clothes for their kids.,marijuana legalization,neutral
Extreme measures for illegal downloaders won't stop file-sharing,Palestinian statehood,neutral
National service shows everyone that each person is equal.,using hydroelectric dams to produce,neutral
Internet access is an enabler of rights not a right in itself.,developing alternative fuels,neutral
costly for the hosts in a financial sense,affirmative action,neutral
Drone strikes create more terrorists than they kill. ,containment,neutral
"""Crowdsourcing"" and ""crowdfunding"" on social media allows people to collectively accomplish a goal.",the embargo,neutral
"Legalizing gay marriage could lead down a ""slippery slope,"" giving people in polygamous, incestuous, bestial, and other nontraditional relationships the right to marry. ",land titles,neutral
Sanctions require international agreement to be effective,internment without trial,neutral
Necessary for punitive justice,arming the Syrian rebels,neutral
Playing for your country is a mortal duty. ,ending the war,neutral
Ethnic borders erase a wrong of history,a UN peacekeeping force,neutral
Trade allows the other country an opportunity to grow.,voluntary disclosure of personal information,neutral
The embargo should be maintained because open travel is insufficient to promote change in Cuba; many democratic countries already allow travel to Cuba with no results. ,it being criminalised,neutral
Demographics would be upset if polygamy was allowed.,holding them in a different city,neutral
Giving land titles to women now would lead to an equal playing field in the future.,taxation based on absolute income and,neutral
One of the great strengths of national service is that it demonstrates that everyone is equal,organ donation being a choice,neutral
It can be inconsiderate to others.,a ban on sexist advertising,neutral
" Social media is good for people who want to interact, but have social anxiety in person.  ",vaccination,neutral
Britain would have to follow the lead of Brussels if they joined the European currency.,judicial review,neutral
PMCs often do not even engage in combat,equality between same-sex couples,neutral
Student health is harmed by tablet use.,the UK leaving the EU,neutral
Private 3D printers make it impossible to regulate illegal products,giving the court more power,neutral
Nuclear weapons are required for deterrence ,a right to health care,neutral
Celebrities endorse drug abuse,Social Security going private,neutral
Files can be shared to any other tablet for easy sharing.,eating animals,neutral
People do not like being told what to do,smoking in public places,neutral
Cost will make energy prices rise,censorship,neutral
Simulating violence such as shooting guns and hand-to-hand combat in video games can cause real-life violent behavior.,grey goods,neutral
Minimum wage helps continue social justice and fair treatment for workers.,using punishment to address issues,neutral
It is very difficult to intercede in humanitarian crises in states wherein nuclear weapons are present.,fighting ISIS,neutral
MLDA 18 is not a right. ,a working week without a cap,neutral
There could be dangerous consequences even the wrong information is revealed,Sharia law,neutral
The developed worls should help,gay marriage,neutral
Open travel to Cuba has not yielded change so the embargo should continue.,PR,neutral
Tax cuts and deregulation stimulate business and lead to a recovery of the economy,more vetoes,neutral
Students should learn about all theories of our beginnings. ,prescription drug reform,neutral
Countries can depend on rainfall to get more water supply,child performers,neutral
The US's position is undermined,the internet as a new way,neutral
Intercept evidence deals particularly well with cases of conspiracy and criminal gangs which have a widespread network.,a Palestinian state,neutral
The use of animals in sport is demeaning to humans. ,keeping Castro as the leader of,neutral
A vegetarian diet leads to lower greenhouse gas emissions. ,tablet use in the classroom,neutral
The identity card system won't stop identity theft and counterfeiting.,decriminalisation,neutral
Privatising PSBs would improve the efficiency of their operations and the quality of their programming,music censorship,neutral
"In order to have voices heard, collective bargaining is needed.",secret ballot voting,neutral
Less educated workers will be at a disadvantage if the minimum wage is increased.,government intervention in the food industry,neutral
Shakespeare has improved the English language.,using hydropower to generate,neutral
Publicity of terrorism garners more attention on it and makes for bad decision making.,taxing smokers,neutral
There are too many pacts against such a war.,more female sports stars,neutral
Special recognition protects and fortifies minority rights,"a ' simpler, more efficient",neutral
Child sponsorship gives more prominent comprehension between individuals from various nations and societies.,a single EU language,neutral
Other addictive substances are legal.,global warming,neutral
Financially costly for the hosts,force feeding,neutral
Dictatorships are more effective than democracies at mobilizing resources for investment.,the boycott,neutral
Making bullying a legal issue will not cause schools to enforce anti bullying rules.,zero tolerance policing,neutral
Markets in sexual services can respect sexual autonomy,annexation,neutral
Increasing the minimum wage would force businesses to lay off employees and raise unemployment levels.,an import quota,neutral
Students can express their individuality in school uniforms by introducing variations and adding accessories.,the third run way,neutral
This offer of amnesty serves as a powerful public statement in favour of free speech and rule of law,a better school nutrition program,neutral
"If the ICC is called into action, that would cause further problems.",patriarchy,neutral
Citizens have a right to know who is being elected to represent them,mandatory national service,neutral
Dropping the debts will not help the population because of corruption,a one state solution,neutral
Social media increases voter participation.,the internet as a right,neutral
The money needed to develop wind technology is wasted and would be more useful in developing geo-thermal and nuclear power.,progressive taxation,neutral
It  sanctions and encourages 'Islamophobic' panics and promotes the excessive 'securitisation' of the globe,unrestricted smoking in movies,neutral
Drone strikes mostly kill low-value targets who are not significant threats to US safety and security. ,mayors,neutral
The US had to take action in the circumstances under War Powers.,net neutrality,neutral
There is nothing inherently cruel about raising animals for food. ,abortion,neutral
Pornography liberates women,free trade,neutral
Boycotting Euro 2012 will highlight Ukraine?? backsliding on human rights,gay marriage,neutral
